n,k,m,SAT,DPLL Time,Exhaustive Time,Match
10,3.0,30,True,0.000061,0.000702,True
10,3.0,30,True,0.000053,0.000034,True
10,4.0,40,False,0.000334,0.001747,True
10,4.0,40,True,0.000201,0.000216,True
10,4.26,42,False,0.000443,0.002277,True
10,4.26,42,True,0.000075,0.001928,True
10,5.0,50,False,0.000435,0.001876,True
10,5.0,50,True,0.000202,0.001265,True
15,3.0,45,True,0.000568,0.001918,True
15,3.0,45,True,0.000700,0.001346,True
15,4.0,60,True,0.000272,0.018028,True
15,4.0,60,True,0.000387,0.009438,True
15,4.26,63,False,0.002183,0.072558,True
15,4.26,63,True,0.000326,0.000265,True
15,5.0,75,False,0.001848,0.063910,True
15,5.0,75,True,0.002092,0.000519,True
